instant_daily,date,season_daily,year_daily,month_daily,holiday_daily,weekday_daily,workingday_daily,weather_daily,temp_daily,atemp_daily,humidity_daily,windspeed_daily,nonmember_daily,member_daily,total_count_daily,instant_hourly,season_hourly,year_hourly,month_hourly,hour,holiday_hourly,weekday_hourly,workingday_hourly,weather_hourly,temp_hourly,atemp_hourly,humidity_hourly,windspeed_hourly,nonmember_hourly,member_hourly,total_count_hourly
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,1,Spring,2011,Jan,00:00 - 04:00,No,Sunday,No,Clear,9.84,14.395,81.0,0.0,3,13,16
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,2,Spring,2011,Jan,00:00 - 04:00,No,Sunday,No,Clear,9.02,13.635,80.0,0.0,8,32,40
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,3,Spring,2011,Jan,00:00 - 04:00,No,Sunday,No,Clear,9.02,13.635,80.0,0.0,5,27,32
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,4,Spring,2011,Jan,00:00 - 04:00,No,Sunday,No,Clear,9.84,14.395,75.0,0.0,3,10,13
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,5,Spring,2011,Jan,04:00 - 08:00,No,Sunday,No,Clear,9.84,14.395,75.0,0.0,0,1,1
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,6,Spring,2011,Jan,04:00 - 08:00,No,Sunday,No,Mist,9.84,12.879999999999999,75.0,6.0032,0,1,1
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,7,Spring,2011,Jan,04:00 - 08:00,No,Sunday,No,Clear,9.02,13.635,80.0,0.0,2,0,2
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,8,Spring,2011,Jan,04:00 - 08:00,No,Sunday,No,Clear,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,9,Spring,2011,Jan,08:00 - 12:00,No,Sunday,No,Clear,9.84,14.395,75.0,0.0,1,7,8
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,10,Spring,2011,Jan,08:00 - 12:00,No,Sunday,No,Clear,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,11,Spring,2011,Jan,08:00 - 12:00,No,Sunday,No,Clear,15.58,19.695,76.0,16.997899999999998,12,24,36
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,12,Spring,2011,Jan,08:00 - 12:00,No,Sunday,No,Clear,14.76,16.665,81.0,19.0012,26,30,56
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,13,Spring,2011,Jan,12:00 - 16:00,No,Sunday,No,Clear,17.22,21.21,77.0,19.0012,29,55,84
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,14,Spring,2011,Jan,12:00 - 16:00,No,Sunday,No,Mist,18.86,22.725,72.0,19.999499999999998,47,47,94
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,15,Spring,2011,Jan,12:00 - 16:00,No,Sunday,No,Mist,18.86,22.725,72.0,19.0012,35,71,106
1,2011-01-01,Spring,2011,Jan,No,Sunday,No,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,16,Spring,2011,Jan,12:00 - 16:00,No,Sunday,No,Mist,18.04,21.97,77.0,19.999499999999998,40,70,110
